original_filepath,toadstool_filepath,compression_type
sys/main.dol,core/main.dol,0
files/B/U/C,core/overlay_menu.bin,1
files/C/L/V,core/overlay_golf.bin,1
files/A/V/K,lakitu_valley/ring_attack_0.json,0
files/A/W/J,lakitu_valley/ring_attack_1.json,0
files/A/V/U,lakitu_valley/ring_attack_2.json,0
files/A/U/Q,lakitu_valley/ring_attack_3.json,0
files/A/W/E,lakitu_valley/ring_attack_4.json,0
files/A/V/A,lakitu_valley/ring_attack_5.json,0
files/A/Y/W,cheep_cheep_falls/ring_attack_0.json,0
files/A/X/N,cheep_cheep_falls/ring_attack_1.json,0
files/B/A/K,cheep_cheep_falls/ring_attack_2.json,0
files/A/X/S,cheep_cheep_falls/ring_attack_3.json,0
files/A/Z/Q,cheep_cheep_falls/ring_attack_4.json,0
files/A/Y/R,cheep_cheep_falls/ring_attack_5.json,0
files/B/B/F,shifting_sands/ring_attack_0.json,0
files/B/C/O,shifting_sands/ring_attack_1.json,0
files/B/C/T,shifting_sands/ring_attack_2.json,0
files/B/C/Y,shifting_sands/ring_attack_3.json,0
files/B/D/N,shifting_sands/ring_attack_4.json,0
files/B/E/M,shifting_sands/ring_attack_5.json,0
files/B/F/D,blooper_bay/ring_attack_0.json,0
files/B/F/N,blooper_bay/ring_attack_1.json,0
files/B/F/S,blooper_bay/ring_attack_2.json,0
files/B/G/H,blooper_bay/ring_attack_3.json,0
files/B/G/R,blooper_bay/ring_attack_4.json,0
files/B/I/A,blooper_bay/ring_attack_5.json,0
files/B/K/F,peach_castle_grounds/ring_attack_0.json,0
files/B/J/G,peach_castle_grounds/ring_attack_1.json,0
files/B/L/L,peach_castle_grounds/ring_attack_2.json,0
files/B/K/R,peach_castle_grounds/ring_attack_3.json,0
files/B/J/L,peach_castle_grounds/ring_attack_4.json,0
files/B/M/C,peach_castle_grounds/ring_attack_5.json,0
files/B/N/H,bowser_badlands/ring_attack_0.json,0
files/B/P/F,bowser_badlands/ring_attack_1.json,0
files/B/N/M,bowser_badlands/ring_attack_2.json,0
files/B/O/G,bowser_badlands/ring_attack_3.json,0
files/B/O/B,bowser_badlands/ring_attack_4.json,0
files/B/P/P,bowser_badlands/ring_attack_5.json,0
